Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
Department of Natural Resources,Matthiessen State Park - LaSalle County,"R. R. 178, Box 509",Utica,61373,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Matthiessen State Park - LaSalle County,"R. R. 178, Box 509",Utica,61373,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Eldon Hazlet State Park - Clinton County,Keyesport Road,Carlyle,62231,Clinton,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Use,1999.0,1999.0,96,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,1980.0,1980.0,625,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,1997.0,1997.0,740,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000.0,2000.0,320,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,1976.0,1976.0,625,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Wolf Creek State Park,R.r. 1 Box 99,Windsor,62534,Shelby,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,1980.0,1980.0,144,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Wolf Creek State Park,R.r. 1 Box 99,Windsor,62534,Shelby,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,1994.0,1994.0,2000,1,1,0,Storage,Storage,Not provided
Department of Corrections,Dwight Correctional Center - Livingston County,Route 17 West,Dwight,60420,Livingston,16,Adam Kinzinger,90,Demmer Tom,45,Tim Bivins,In Use,2001.0,2001.0,2048,1,1,0,Industrial,Industrial,Not provided
Department of Human Services,Joliet Sexually Violent Persons Facility,1125 North Collins Street,Joliet,60432,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Use,2001.0,2001.0,22000,2,2,0,Health Care,Detention & Correc,Not provided
Department of Corrections,Southwestern Correctional Center - E. St. Louis,950 Kingshighway P.o. Box 50,East St Louis,62203,St. Clair,12,Mike Bost,113,Hoffman Jay,57,"James F. Clayborne, Jr.",In Use,2000.0,2000.0,120,1,1,0,Storage,Storage,Not provided
Department of Transportation,Fithian Maintenance Storage Facility - Vermilion County,1518 East 1800 North Road,Fithian,61844,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,2000.0,2000.0,4860,1,1,0,Storage,Storage,Not provided
Department of State Police,Effingham District 12 - Effingham County,2 Miles East Of Mason,Effingham,62454,Effingham,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Use,2000.0,2000.0,156,1,1,0,Industrial,Industrial,Not provided
Department of Military Affairs,Marseilles Armory (Training Area) - LaSalle Co.,2515 N. 23rd. Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Use,2000.0,2000.0,1080,1,1,0,Unusual,Unusual,Not provided
Department of Agriculture,DuQuoin State Fairgrounds - Perry County,"Route #2, Box 306",Duquoin,62832,Perry,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2000.0,2000.0,2020,1,1,0,Storage,Storage,Not provided
Department of Agriculture,DuQuoin State Fairgrounds - Perry County,"Route #2, Box 306",Duquoin,62832,Perry,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2000.0,2000.0,3360,1,1,0,Storage,Storage,Not provided
Department of Agriculture,DuQuoin State Fairgrounds - Perry County,"Route #2, Box 306",Duquoin,62832,Perry,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2000.0,2000.0,1800,1,1,0,Storage,Storage,Not provided
Governors State University,Governors State University - Will County,Governor's Hwy & Univ Pkwy,University Park,60466,Will,3,Daniel William Lipinski,85,Connor John,43,Pat McGuire,In Use,1993.0,1993.0,25000,3,2,1,Business,Business,Not provided
Governors State University,Governors State University - Will County,Governor's Hwy & Univ Pkwy,University Park,60466,Will,3,Daniel William Lipinski,85,Connor John,43,Pat McGuire,In Use,1972.0,1970.0,11000,3,2,1,Education,Education,Not provided
Governors State University,Governors State University - Will County,Governor's Hwy & Univ Pkwy,University Park,60466,Will,3,Daniel William Lipinski,85,Connor John,43,Pat McGuire,In Use,1970.0,1970.0,10000,2,2,0,Storage,Storage,Not provided
Department of Natural Resources,Beaver Dam State Park - Macoupin County,14548 Beaver Dam Lane,Plainview,62685,Macoupin,13,Rodney L. Davis,95,Bourne Avery,48,Andy Manar,In Use,2001.0,2001.0,1400,1,1,0,Mercantile,Mercantile,Not provided
Department of Natural Resources,Joel D. Brunsvold Building,650 East Taintor Road,Springfield,62707,Sangamon,13,Rodney L. Davis,87,Butler Tim,44,William E. Brady,In Use,2001.0,2001.0,183175,5,4,1,Business,Business,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000.0,2000.0,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000.0,2000.0,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000.0,2000.0,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000.0,2000.0,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000.0,2000.0,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000.0,2000.0,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000.0,2000.0,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000.0,2000.0,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Wolf Creek State Park,R.r. 1 Box 99,Windsor,62534,Shelby,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2001.0,2001.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Kickapoo State Park - Vermilion County,"Rr #1, Box 374",Oakwood,61858,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,1996.0,1977.0,1625,1,1,0,Mercantile,Storage,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weldon Springs State Park - DeWitt County,"Rr #2, Box 87",Clinton,61727,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,540,1,1,0,Assembly,Assembly,Not provided
Department of Corrections,Stateville Correctional Center - Joliet,Rt 53 & Division St,Joliet,60434,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Use,2002.0,2002.0,14900,2,2,0,Industrial,Industrial,Not provided
Department of Transportation,Lake Zurich,700 South Ela Road,Lake Zurich,60048,Lake,6,Peter J. Roskam,51,Sauer Nick,26,Dan McConchie,In Use,2001.0,2001.0,21100,1,1,0,Storage,Storage,Not provided
Department of Transportation,Litchfield Maintenance Storage Facility,"Us-66, 4 Miles North",Litchfield,62056,Montgomery,16,Adam Kinzinger,106,Bennett Thomas M.,53,Jason A. Barickman,In Use,2001.0,2001.0,2160,1,1,0,Storage,Storage,Not provided
Department of Transportation,Springfield Sign Shop,1035 West Reynolds,Springfield,62702,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Use,2001.0,2001.0,1540,1,1,0,Storage,Storage,Not provided
Department of Transportation,Scott Airforce-I64,8313 Shiloh Valley Township,Lebanon,62254,St. Clair,12,Mike Bost,114,Greenwood LaToya,57,"James F. Clayborne, Jr.",In Use,2001.0,2001.0,900,1,1,0,Storage,Storage,Not provided
Department of Transportation,Browns Property-District 7-Effingham,400 West Wabash,Effingham,62401,Effingham,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Use,2001.0,2001.0,16280,1,1,0,Storage,Storage,Not provided
Department of State Police,Andover Radio Tower - Henry County,Rte 9,Andover,61233,Henry,17,Cheri Bustos,74,Swanson Daniel,37,Chuck Weaver,In Use,2006.0,2006.0,240,1,1,0,Industrial,Industrial,Not provided
Department of State Police,Pecatonica District 16 - Winnebago Co.,16450 West State Road,Pecatonica,61063,Winnebago,17,Cheri Bustos,89,Stewart Brian W.,45,Tim Bivins,In Use,2001.0,2001.0,504,1,1,0,Industrial,Industrial,Not provided
Department of Central Management Services,Telecommunications Building - Spfld,120 West Jefferson,Springfield,62706,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Use,2000.0,1990.0,82500,3,3,0,Business,Business,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1988.0,1988.0,2960,1,1,0,Business,Business,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1988.0,1988.0,2560,1,1,0,Storage,Storage,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1998.0,1998.0,288,1,1,0,Storage,Storage,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1993.0,1993.0,10972,1,1,0,Education,Education,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1998.0,1998.0,875,1,1,0,Storage,Storage,Not provided
Illinois State University,Illinois State University - Normal,,Normal,61761,McLean,13,Rodney L. Davis,105,Brady Dan,53,Jason A. Barickman,In Use,1976.0,1976.0,153,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Siloam Springs State Park - Adams County,"Rr #1, Box 204",Clayton,62324,Adams,18,Darin M. LaHood,94,Frese Randy E.,47,Jil Tracy,In Use,1981.0,1981.0,216,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1995.0,1995.0,90,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1988.0,1988.0,0,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1988.0,1890.0,1536,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1988.0,1988.0,0,1,1,0,Business,Business,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1995.0,1995.0,90,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1993.0,1993.0,2304,1,1,0,Business,Business,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1988.0,1894.0,3528,5,4,1,Residential,Residential,Not provided
Department of Natural Resources,Rock Island Trail State Park - Stark County,"Rr #1, Box 64",Wyoming,61491,Stark,18,Darin M. LaHood,73,Spain Ryan,37,Chuck Weaver,In Use,1995.0,1995.0,90,1,1,0,Unusual,Unusual,Not provided
Historic Preservation Agency,Lincoln Presidential Center - Springfield,500 East Madison,Springfield,62701,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Use,2000.0,1896.0,15000,6,5,1,Business,Business,Not provided
Department of Natural Resources,"""Harry """"Babe"""" Woodyard Natural Area - Vermilion Co.""",19268e 670n,Georgetown,61846,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,1996.0,1990.0,1564,1,1,0,Residential,Residential,Not provided
Department of Natural Resources,Jim Edgar Panther Creek F&WA - Cass Co.,P.o. Box 646,Chandlerville,62627,Cass,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000.0,2000.0,1684,1,1,0,Business,Business,Not provided
Department of Corrections,Southwestern Correctional Center - E. St. Louis,950 Kingshighway P.o. Box 50,East St Louis,62203,St. Clair,12,Mike Bost,113,Hoffman Jay,57,"James F. Clayborne, Jr.",In Use,2001.0,2001.0,3030,1,1,0,Detention & Correc,Detention & Correc,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000.0,2000.0,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000.0,2000.0,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Walnut Point State Park - Douglas County,"Rr #2, Box 250",Oakland,61943,Douglas,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,2000.0,2000.0,220,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Castle Rock State Park - Ogle County,1365 West Castle Road,Oregon,61061,Ogle,16,Adam Kinzinger,90,Demmer Tom,45,Tim Bivins,In Use,2001.0,2001.0,3260,2,2,0,Storage,Storage,Not provided
Department of Natural Resources,Illini State Park - LaSalle County,2660 E 2350th Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2001.0,2001.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Eldon Hazlet State Park - Clinton County,Keyesport Road,Carlyle,62231,Clinton,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Use,2000.0,2000.0,1903,1,1,0,Storage,Storage,Not provided
Historic Preservation Agency,Lincoln Presidential Center - Springfield,112 North 6th Street,Springfield,62701,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Use,2002.0,2002.0,100000,5,4,1,Assembly,Education,Not provided
Historic Preservation Agency,Lincoln Presidential Center - Springfield,212 North 6th Street,Springfield,62701,Sangamon,13,Rodney L. Davis,96,Scherer Sue,48,Andy Manar,In Use,2002.0,2002.0,99800,3,3,0,Assembly,Storage,Not provided
Department of Corrections,Stateville Correctional Center - Joliet,Rt 53 & Division St,Joliet,60434,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Use,2001.0,2001.0,45514,2,2,0,Storage,Storage,Not provided
Department of Corrections,Stateville Correctional Center - Joliet,Rt 53 & Division St,Joliet,60434,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Use,2001.0,2001.0,150,1,1,0,Industrial,Industrial,Not provided
Department of Natural Resources,Johnson-Sauk Trail State Park - Henry County,27500 N. 1200 Avenue,Kewanee,61443,Henry,17,Cheri Bustos,74,Swanson Daniel,37,Chuck Weaver,In Use,1997.0,1997.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Kickapoo State Park - Vermilion County,"Rr #1, Box 374",Oakwood,61858,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,2001.0,2001.0,1600,1,1,0,Mercantile,Mercantile,Unusual
Department of Corrections,Stateville Correctional Center - Joliet,Rt 53 & Division St,Joliet,60434,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Use,2001.0,2001.0,32351,2,2,0,Industrial,Industrial,Not provided
Department of Natural Resources,Natural. History Survey - Sullivan,"Rr #1, Box 157",Sullivan,61951,Moultrie,15,John Shimkus,101,Mitchell Bill,51,Chapin Rose,In Use,1987.0,1987.0,729,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Natural. History Survey - Sullivan,"Rr #1, Box 157",Sullivan,61951,Moultrie,15,John Shimkus,101,Mitchell Bill,51,Chapin Rose,In Use,1985.0,1985.0,700,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Artisans' Shop & Visitors' Center - Rend Lake,14967 Dun Creek Trail,Whittington,62897,Franklin,12,Mike Bost,117,Severin Dave,59,Dale Fowler,In Use,2001.0,2001.0,2000,1,1,0,Industrial,Industrial,Not provided
Department of Natural Resources,Prairie Chicken Sanctuary NP(JASPER CO),"Rr #3, Po Box 74",Bogota,62448,Jasper,0,,108,Meier Charles,54,Kyle McCarter,In Use,2001.0,2001.0,3520,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Prairie Chicken Sanctuary NP(JASPER CO),"Rr #3, Po Box 74",Bogota,62448,Jasper,0,,108,Meier Charles,54,Kyle McCarter,In Use,2001.0,2001.0,100,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Clinton Lake Recreation Area - DeWitt County,Rr# 1,Clinton,61735,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,600,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Clinton Lake Recreation Area - DeWitt County,Rr# 1,Clinton,61735,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,540,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Clinton Lake Recreation Area - DeWitt County,Rr# 1,Clinton,61735,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Clinton Lake Recreation Area - DeWitt County,Rr# 1,Clinton,61735,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,90,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Clinton Lake Recreation Area - DeWitt County,Rr# 1,Clinton,61735,DeWitt,13,Rodney L. Davis,101,Mitchell Bill,51,Chapin Rose,In Use,2000.0,2000.0,320,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Kickapoo State Park - Vermilion County,"Rr #1, Box 374",Oakwood,61858,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,2001.0,2001.0,960,1,1,0,Storage,Storage,Not provided
Department of Juvenile Justice,Illinois Youth Center - St. Charles,38 West 060 Rte 38,St Charles,60174,Kane,14,Randy Hultgren,50,Wheeler Keith R.,25,Jim Oberweis,In Use,2002.0,2001.0,12000,1,1,0,Detention & Correc,Detention & Correc,Not provided
Department of Juvenile Justice,Illinois Youth Center - St. Charles,38 West 060 Rte 38,St Charles,60174,Kane,14,Randy Hultgren,50,Wheeler Keith R.,25,Jim Oberweis,In Use,2002.0,2001.0,18500,1,1,0,Assembly,Assembly,Not provided
Department of Corrections,Logan Correctional Center - Lincoln,"R.r. #3, Box 1000",Lincoln,62656,Logan,18,Darin M. LaHood,87,Butler Tim,44,William E. Brady,In Use,2000.0,2000.0,120,1,1,0,Industrial,Industrial,Not provided
Department of Transportation,Steelville Maintenance Storage Facility,700 North Cherry Street,Steeleville,62288,Randolph,12,Mike Bost,116,"Costello, II Jerry",58,Paul Schimpf,In Use,2001.0,2001.0,4032,1,1,0,Storage,Storage,Not provided
Southern Illinois University,Southern Illinois University - East St. Louis,601 James R Thompson Blvd,East St Louis,62201,St. Clair,13,Rodney L. Davis,111,Beiser Daniel V.,56,William R. Haine,In Use,2002.0,2002.0,48000,2,2,0,Health Care,Health Care,Not provided
